GEO_ID,NAME,Geoid,S2701_C01_001E
0500000US24001,"Allegany County, Maryland",24001,62927
0500000US24003,"Anne Arundel County, Maryland",24003,560769
0500000US24005,"Baltimore County, Maryland",24005,843113
0500000US24009,"Calvert County, Maryland",24009,91056
0500000US24011,"Caroline County, Maryland",24011,32864
0500000US24013,"Carroll County, Maryland",24013,169959
0500000US24015,"Cecil County, Maryland",24015,102404
0500000US24017,"Charles County, Maryland",24017,161916
0500000US24019,"Dorchester County, Maryland",24019,32098
0500000US24021,"Frederick County, Maryland",24021,264776
0500000US24023,"Garrett County, Maryland",24023,28487
0500000US24025,"Harford County, Maryland",24025,256737
0500000US24027,"Howard County, Maryland",24027,325406
0500000US24029,"Kent County, Maryland",24029,18905
0500000US24031,"Montgomery County, Maryland",24031,1048183
0500000US24033,"Prince George's County, Maryland",24033,950235
0500000US24035,"Queen Anne's County, Maryland",24035,49240
0500000US24037,"St. Mary's County, Maryland",24037,109932
0500000US24039,"Somerset County, Maryland",24039,20831
0500000US24041,"Talbot County, Maryland",24041,37127
0500000US24043,"Washington County, Maryland",24043,145280
0500000US24045,"Wicomico County, Maryland",24045,101953
0500000US24047,"Worcester County, Maryland",24047,51546
0500000US24510,"Baltimore city, Maryland",24510,583931
