Name,FIPS,"# Computers In Household | Households, 2021 [Estimated]"
"Abbeville County, SC",45001,9547
"Acadia Parish, LA",22001,22117
"Accomack County, VA",51001,13001
"Ada County, ID",16001,179932
"Adair County, IA",19001,3137
"Adair County, KY",21001,6947
"Adair County, MO",29001,9143
"Adair County, OK",40001,7577
"Adams County, CO",8001,170300
"Adams County, IA",19003,1545
"Adams County, ID",16003,1822
"Adams County, IL",17001,27196
"Adams County, IN",18001,12563
"Adams County, MS",28001,10846
"Adams County, ND",38001,1025
"Adams County, NE",31001,12682
"Adams County, OH",39001,10626
"Adams County, PA",42001,39885
"Adams County, WA",53001,6016
"Adams County, WI",55001,9514
"Addison County, VT",50001,14812
"Adjuntas Municipio, PR",72001,5461
"Aguada Municipio, PR",72003,12621
"Aguadilla Municipio, PR",72005,22037
"Aguas Buenas Municipio, PR",72007,8239
"Aibonito Municipio, PR",72009,8339
"Aiken County, SC",45003,69102
"Aitkin County, MN",27001,7750
"Alachua County, FL",12001,97978
"Alamance County, NC",37001,65729
"Alameda County, CA",6001,581783
"Alamosa County, CO",8003,6233
"Albany County, NY",36001,127240
"Albany County, WY",56001,16048
"Albemarle County, VA",51003,42349
"Alcona County, MI",26001,4989
"Alcorn County, MS",28003,14349
"Aleutians East Borough, AK",2013,996
"Aleutians West Census Area, AK",2016,1215
"Alexander County, IL",17003,1938
"Alexander County, NC",37003,14224
"Alexandria city, VA",51510,72023
"Alfalfa County, OK",40003,1790
"Alger County, MI",26003,2740
"Allamakee County, IA",19005,5856
"Allegan County, MI",26005,43839
"Allegany County, MD",24001,26944
"Allegany County, NY",36003,17762
"Alleghany County, NC",37005,4890
"Alleghany County, VA",51005,6559
"Allegheny County, PA",42003,543352
"Allen County, IN",18003,146112
"Allen County, KS",20001,5354
"Allen County, KY",21003,7552
"Allen County, OH",39003,40753
"Allen Parish, LA",22003,7839
"Allendale County, SC",45005,3326
"Alpena County, MI",26007,12688
"Alpine County, CA",6003,306
"Amador County, CA",6005,14545
"Amelia County, VA",51007,5015
"Amherst County, VA",51009,11829
"Amite County, MS",28005,5230
